PDF,Type,Title,Authors,Mentor TA
CS224R_Final_Report (5)1.pdf,Custom,Direct Preference Optimization for Low-Level Actions in Robotic and Simulation Learning,"Kenneth Ma, Parker Stewart, Thomas Yim",Marcel Torne
Final_Report (1).pdf,Custom,Adversarial Strategy Generation for RL Poker Agents Using LLMs,"Ben Felter, Travis Senf, Alex Michael",Annie Chen
cs224r_project_report__2_.pdf,Custom,Toward Whole-Body Locomotion for Humanoid Robot,"Tae Yang, Zhicong Zhang",Zhen Wu
CS224R_Final_Project1.pdf,Custom,A Novel Approach Using Implicit Q-Learning to Optimize ER Patient Triage,Aadhav Prabu,Jinny Chung
CS_224R_Project1.pdf,Custom,Adversarial RL for Hard-Negative Code Generation,"Eric Li, Ella Mao",Jinny Chung
CS224R_Final_Report (5).pdf,Custom,Logits and Labyrinths: Using Meta RL to Play Text Based Adventure Games,"Javokhir Arifov, Philip Baillargeon, Nathanael Cadicamo",Xingze Dai
Final_Paper1.pdf,Custom,MergeRL: Preference-Driven Reinforcement Learning for 2048,"Andy Liang, Abhinav Sinha, Jeremy Tian",Sri Jaladi
Set_Dreamer_CS224R_Final_Project.pdf,Custom,Dynamics Modeling between Learnable State Space Subsets for Data Efficient Reinforcement Learning,"Hyun Dong Lee, Kyle Ellefsen",Jubayer Ibn Hamid
CS224r_final_paper (4).pdf,Custom,Adaptive Trade Execution using Deep Reinforcement Learning,Deep Learni,Andy Tang
CS224R.pdf,Custom,AI Health Database: Structuring Medical Notes and Imitation Learning for Clinical Decision Support,Jingdong Xiang,Jensen Gao
CS224R_Final_Report___Faierman__Jia__Hsu.pdf,Default,"Strategies for Improving Math Reasoning: SFT, RLOO, Synthetic Data, and Test-Time Inference","Allison Jia, John Hsu, Jacob Faierman",Andy Tang
CS224R_Final_Report (24).pdf,Custom,Comparative Study of Zero-Shot LLM Planning vs. Reinforcement Learning in Procgen,"James Cheng, Andy Ouyang, Nishikar Paruchuri",Andy Tang
224r_Final_Report__3_.pdf,Default,Learning From Failure - Loss Based Curriculum Learning,"Tomas Coghlan, Ismail Mardin, Mattheus Wolff",Joy He-Yueya
224R_Paper__1_.pdf,Custom,Reinforcement Learning in Tetris with Multi-Agent Systems,"Eric He, Deren Ji, Karl Songcuan",Jinny Chung
Your_Project_Title12.pdf,Default,RL fine-tuning of Language Models with Synthetic Data,Daniel Sorvisto,Sirui Chen
CS224R_Final_Report12.pdf,Custom,3PO - Causal Model-Based Reinforcement Learning Agent for Adaptive Pricing and Promotion Planning,Minha Hwang,Daniel Shin
CS_224R_Final_Report-2.pdf,Custom,Rapid Feedback Loop Mitigation for Fair Policing,Vyoma Raman,Daniel Shin
CS_224R_Final_Report (1).pdf,Custom,Implementing and Improving the Seminal Automated Red-Teaming RL Formulation,"Allie Griffith, Emma Casey",Yash Kankariya
CS224R_Final_Project_Report__2_1.pdf,Default,RL on Quarto: Experimenting with Dense Reward Environments,"Ishvi Mathai, Humishka Zope, Aditri Patil",Prateek Varshney
CS224R_Final_Report (3)12.pdf,Custom,A Comparative Study of Deep Reinforcement Learning and Expectimax Search for the Game 2048,"Soham Konar, Danny S. Park, Andrew Wu",Sri Jaladi
CS224R_Project_Report (1)1.pdf,Custom,Fine-tuning Rule Merging for Efficient Math Reasoning,Yifan Zhang,Prateek Varshney
CS224R_Final_Project12.pdf,Default,Augment and Align: Leveraging LLMs for Improved Preference Data in DPO,"Li Miao, Haoran Qi, Yue Shen",Annie Chen
CS224R_Final_Report (3)1.pdf,Custom,Incentivizing Unsafe Reasoning in Chain-of-Thought,"Katherine Worden, Jeong Shin",Sirui Chen
CS_224R_Project.pdf,Custom,Advancing Multi-Agent Reasoning in Open-Face Chinese Poker,"Alice Guo, Ramya Iyer, Isabella Lee",Pulkit Goel
224r_final-2.pdf,Custom,Optimizing 3D Scene Agent Exploration for Novel View Generation,Brian Lee,Bassem Akoush
Ethan_Bogle_CS224R_Project_Report.pdf,Custom,Simulation-Based Policy Training for Costly-Data Scenarios,Ethan Bogle,Jinny Chung
CS_224R_Project_Final_Report__3_.pdf,Default,Instruction Following with Qwen2.5: Multi-Objective Reinforcement Learning,"Gabrielle Belanger, George Dimopoulos, Nahome Hagos",Haoyi Duan
CS224R_FINAL_PROJECT_REPORT__1_.pdf,Default,DPPO: Direct Preference and Penalization Optimization,Pengwei Sun,Xingze Dai
CS224R_Final_report (4).pdf,Custom,Robotic Tray Sorting with Soft Actor-Critic and Task-Conditioned Learning,Keyuan Wu,Sirui Chen
cs224r_final_report_2025 (1)1.pdf,Custom,Gaming the Video Against Yourself,Joshua Boisvert,Marcel Torne
Project_Report__1_.pdf,Custom,Uncertainty-Aware Planning for Off-road Autonomous Driving with Vision-Conditioned Learned Dynamics,Aaron Feldman,Annie Chen
Project_TANTALUS-6.pdf,Custom,TANTALUS,Nathaniel Voorhies,Marcel Torne
CS_224R_Final_Report_final.pdf,Default,Aligning Language Models with Multi-Objective Reinforcement Learning,"Maoan Wang, Yawen Guo",Jubayer Ibn Hamid
